,Age,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn,Gender_Female,Gender_Male,Location_Chicago,Location_Houston,Location_Los Angeles,Location_Miami,Location_New York
61,48,16,41.1,334,1,1,0,0,0,0,0,1
62,53,8,61.96,326,0,0,1,0,0,1,0,0
63,64,10,73.94,459,0,0,1,0,1,0,0,0
64,70,7,62.67,371,1,0,1,0,0,0,0,1
65,20,20,51.95,299,1,1,0,1,0,0,0,0
66,67,24,57.31,376,1,0,1,0,0,0,1,0
67,37,1,74.99,214,0,1,0,0,0,1,0,0
68,62,6,43.42,329,0,1,0,0,1,0,0,0
69,26,11,70.83,50,1,1,0,0,0,0,1,0
70,38,21,34.06,444,1,0,1,0,0,1,0,0
71,25,9,58.42,113,0,0,1,0,1,0,0,0
72,40,20,93.09,76,1,1,0,0,0,1,0,0
73,47,14,89.24,134,0,1,0,0,1,0,0,0
74,21,22,97.97,184,1,0,1,0,0,0,1,0
75,27,18,98.2,319,0,0,1,0,0,1,0,0
76,24,21,37.5,235,0,0,1,0,0,0,1,0
77,33,2,83.74,85,0,0,1,0,0,1,0,0
78,51,1,82.58,332,1,0,1,0,1,0,0,0
79,48,23,83.84,73,1,1,0,0,1,0,0,0
80,35,13,47.9,184,0,1,0,0,0,0,1,0
81,24,22,87.1,369,1,0,1,1,0,0,0,0
82,33,3,70.27,308,1,1,0,0,0,1,0,0
83,44,21,73.86,446,0,0,1,0,0,1,0,0
84,69,8,35.13,321,0,1,0,0,0,0,0,1
85,21,17,55.84,83,0,1,0,0,0,1,0,0
86,21,18,72.41,371,0,0,1,0,0,0,0,1
87,50,10,49.0,114,0,0,1,0,1,0,0,0
88,20,16,49.22,296,1,1,0,0,0,0,1,0
89,42,14,73.36,102,0,0,1,0,1,0,0,0
90,61,22,86.3,215,0,1,0,0,0,0,0,1
91,31,24,49.1,169,0,1,0,1,0,0,0,0
92,67,15,45.59,115,1,0,1,1,0,0,0,0
93,53,4,49.5,225,1,1,0,1,0,0,0,0
94,40,17,85.3,140,1,0,1,0,0,0,0,1
95,61,20,56.0,278,1,1,0,0,0,0,1,0
96,52,17,95.85,84,0,0,1,0,0,0,1,0
97,39,3,66.71,463,1,0,1,0,1,0,0,0
98,46,9,51.08,402,1,1,0,0,0,1,0,0
99,56,2,46.34,468,0,0,1,0,0,0,0,1
100,59,20,30.93,375,1,0,1,1,0,0,0,0
101,62,2,55.59,366,1,1,0,1,0,0,0,0
102,59,6,53.26,404,1,0,1,0,0,1,0,0
103,65,15,31.35,471,0,1,0,1,0,0,0,0
104,44,2,70.78,204,1,1,0,0,0,1,0,0
105,52,1,42.33,320,0,0,1,1,0,0,0,0
106,26,12,99.3,178,1,0,1,0,0,1,0,0
107,40,18,82.81,214,1,0,1,0,0,1,0,0
108,45,6,80.72,149,0,1,0,0,0,1,0,0
109,59,8,49.35,361,1,0,1,0,0,0,0,1
110,60,10,72.78,304,1,0,1,0,1,0,0,0
111,70,24,34.53,236,0,0,1,0,0,0,0,1
112,63,11,66.79,150,0,1,0,0,1,0,0,0
113,22,9,60.71,281,1,1,0,0,0,0,0,1
114,55,20,34.78,177,0,0,1,0,0,1,0,0
115,40,8,38.71,117,0,0,1,0,1,0,0,0
116,63,14,48.51,137,1,0,1,0,0,1,0,0
117,63,9,97.71,322,0,0,1,0,0,0,1,0
118,28,5,61.14,427,0,1,0,0,0,1,0,0
119,26,21,62.0,403,1,1,0,0,0,0,1,0
120,57,18,36.89,237,0,0,1,0,1,0,0,0
121,43,6,74.7,439,1,0,1,0,0,1,0,0
122,49,22,90.88,336,1,0,1,0,1,0,0,0
123,67,5,39.68,344,0,1,0,1,0,0,0,0
124,30,3,55.16,288,0,1,0,0,0,0,1,0
125,42,22,63.77,102,0,0,1,0,0,0,0,1
126,28,15,58.53,257,1,1,0,1,0,0,0,0
127,69,9,87.5,196,1,1,0,1,0,0,0,0
128,66,9,71.4,365,0,0,1,0,1,0,0,0
129,49,1,37.98,419,1,0,1,0,1,0,0,0
130,26,22,31.65,215,0,0,1,0,0,0,0,1
131,40,18,66.53,111,1,0,1,1,0,0,0,0
132,29,16,68.82,113,1,1,0,0,1,0,0,0
133,48,5,43.93,427,0,0,1,0,1,0,0,0
134,31,4,79.23,344,1,1,0,0,0,0,0,1
135,39,8,77.82,192,0,0,1,1,0,0,0,0
136,46,19,38.16,244,1,0,1,0,0,0,0,1
137,56,7,40.95,287,0,0,1,0,0,0,1,0
138,27,21,57.12,395,0,1,0,1,0,0,0,0
139,54,8,34.12,213,1,0,1,0,1,0,0,0
140,45,13,82.95,109,1,0,1,1,0,0,0,0
141,43,15,65.57,140,0,0,1,0,1,0,0,0
142,19,1,43.17,286,0,0,1,0,0,1,0,0
143,46,4,61.6,283,1,0,1,0,0,1,0,0
144,18,12,40.93,230,1,1,0,1,0,0,0,0
145,41,22,87.74,192,0,0,1,0,0,0,0,1
146,56,6,82.51,491,0,1,0,1,0,0,0,0
147,40,4,79.86,274,1,0,1,1,0,0,0,0
148,61,2,98.9,335,1,1,0,1,0,0,0,0
149,37,12,40.67,462,1,0,1,0,1,0,0,0
150,27,12,84.66,101,0,1,0,0,0,1,0,0
151,49,12,44.74,369,0,0,1,0,1,0,0,0
152,19,13,64.1,442,1,1,0,0,1,0,0,0
153,50,21,81.84,407,0,1,0,0,1,0,0,0
154,41,8,92.06,126,1,0,1,0,1,0,0,0
155,52,20,90.9,396,0,1,0,0,1,0,0,0
156,50,23,41.24,64,0,1,0,0,1,0,0,0
157,68,7,92.9,199,1,0,1,0,0,0,0,1
158,41,21,80.3,351,1,1,0,0,0,0,1,0
159,26,23,87.42,261,0,0,1,0,0,0,0,1
160,52,3,38.11,376,0,1,0,0,1,0,0,0
161,37,14,63.78,321,1,1,0,1,0,0,0,0
162,68,5,40.9,496,0,1,0,0,0,0,1,0
163,22,10,64.04,89,1,1,0,0,0,0,1,0
164,48,10,36.44,162,1,0,1,0,0,1,0,0
165,33,15,70.28,480,1,0,1,1,0,0,0,0
166,66,20,35.34,400,1,0,1,0,1,0,0,0
167,33,1,95.13,320,0,1,0,0,1,0,0,0
168,35,3,36.48,303,1,1,0,0,0,1,0,0
169,19,10,89.65,197,0,1,0,0,1,0,0,0
170,56,18,56.81,218,0,1,0,0,0,0,1,0
171,54,2,86.68,225,1,1,0,0,0,0,1,0
172,53,10,47.57,134,0,0,1,0,1,0,0,0
173,34,1,65.08,181,0,0,1,0,0,0,0,1
174,66,21,71.73,231,0,1,0,0,1,0,0,0
175,39,11,39.55,474,0,1,0,0,1,0,0,0
176,53,17,44.07,348,0,0,1,0,0,1,0,0
177,31,21,35.29,112,1,0,1,0,0,1,0,0
178,41,13,67.09,419,1,1,0,1,0,0,0,0
179,61,23,66.52,457,0,1,0,0,1,0,0,0
180,34,4,46.49,54,1,0,1,0,1,0,0,0
181,61,13,54.37,122,0,1,0,1,0,0,0,0
182,26,2,92.47,397,1,0,1,0,0,0,0,1
183,70,6,42.26,100,1,1,0,0,1,0,0,0
184,54,3,56.44,463,1,1,0,0,0,0,1,0
185,52,17,75.12,318,1,1,0,0,0,0,0,1
186,35,20,86.55,242,1,1,0,1,0,0,0,0
187,18,3,74.14,327,0,0,1,0,1,0,0,0
188,56,10,97.94,84,1,1,0,0,0,1,0,0
189,62,20,82.82,476,0,1,0,0,1,0,0,0
190,62,4,85.73,256,0,0,1,0,0,0,0,1
191,37,15,58.81,241,1,0,1,0,0,1,0,0
192,24,24,77.85,466,0,1,0,0,1,0,0,0
193,32,1,44.58,438,1,1,0,1,0,0,0,0
194,27,4,66.4,51,1,1,0,0,1,0,0,0
195,43,1,55.18,165,1,1,0,0,0,1,0,0
196,53,11,79.66,120,1,1,0,1,0,0,0,0
197,46,1,96.75,493,1,1,0,0,1,0,0,0
198,43,1,84.36,150,1,1,0,1,0,0,0,0
199,64,15,56.53,59,0,0,1,0,0,1,0,0
200,29,7,98.2,188,0,0,1,0,0,1,0,0
201,54,5,72.36,339,1,0,1,0,0,0,0,1
202,60,18,97.06,167,1,1,0,0,0,0,1,0
203,37,10,57.34,120,1,1,0,0,1,0,0,0
204,24,20,30.52,371,0,1,0,1,0,0,0,0
205,64,22,79.41,114,0,1,0,0,0,0,0,1
206,29,2,89.42,236,0,1,0,1,0,0,0,0
207,50,19,56.3,114,0,0,1,0,0,1,0,0
208,59,1,48.14,301,1,1,0,0,0,0,0,1
209,21,2,66.9,209,0,1,0,0,1,0,0,0
210,65,19,93.59,311,0,0,1,1,0,0,0,0
211,42,8,78.06,236,0,1,0,1,0,0,0,0
212,32,9,72.83,496,0,0,1,0,0,1,0,0
213,51,21,95.01,429,0,0,1,1,0,0,0,0
214,40,24,45.87,459,0,0,1,0,0,0,0,1
215,62,14,77.0,305,1,0,1,0,0,1,0,0
216,55,3,47.48,190,0,0,1,1,0,0,0,0
217,49,7,72.62,345,0,0,1,0,1,0,0,0
218,32,8,75.84,284,1,0,1,0,0,0,1,0
219,66,16,87.64,390,1,1,0,0,0,0,0,1
220,47,15,36.66,438,0,0,1,0,0,0,0,1
221,20,3,51.26,72,1,1,0,1,0,0,0,0
222,69,21,82.39,115,1,0,1,0,0,1,0,0
223,22,2,40.33,258,0,0,1,0,1,0,0,0
224,34,7,41.54,358,1,1,0,0,0,0,1,0
225,60,9,40.33,442,1,1,0,0,1,0,0,0
226,55,13,52.33,136,1,1,0,0,0,1,0,0
227,37,11,36.1,280,1,0,1,1,0,0,0,0
228,23,4,36.47,55,1,0,1,0,0,0,1,0
229,28,18,30.87,309,1,1,0,0,0,0,1,0
230,48,3,72.26,266,1,0,1,0,0,1,0,0
231,35,22,35.75,388,0,0,1,1,0,0,0,0
232,62,15,34.96,345,0,0,1,1,0,0,0,0
233,59,11,87.68,52,0,1,0,0,0,1,0,0
234,61,5,34.31,478,1,0,1,0,0,0,0,1
235,33,20,45.49,401,1,0,1,1,0,0,0,0
236,21,2,48.99,472,1,1,0,0,0,0,0,1
237,68,24,60.59,269,0,0,1,0,0,0,1,0
238,19,18,75.56,65,0,1,0,0,0,0,1,0
239,21,10,33.65,163,0,0,1,0,0,0,0,1
240,30,13,32.33,383,1,0,1,0,0,0,0,1
241,67,1,50.04,488,1,1,0,0,0,0,0,1
242,70,24,93.55,497,1,0,1,0,0,0,1,0
243,48,11,83.53,71,1,0,1,1,0,0,0,0
244,63,19,41.08,216,0,0,1,0,0,0,0,1
245,53,22,88.15,229,1,0,1,0,1,0,0,0
246,60,14,38.39,115,1,1,0,0,0,1,0,0
247,69,3,90.34,271,1,0,1,0,0,1,0,0
248,56,6,65.68,223,0,1,0,0,0,0,0,1
249,29,15,92.34,263,1,0,1,0,1,0,0,0
250,20,16,95.27,255,1,1,0,1,0,0,0,0
251,55,21,87.95,145,1,0,1,0,0,1,0,0
252,52,15,77.27,203,0,1,0,0,0,1,0,0
253,68,16,32.89,76,0,1,0,0,1,0,0,0
254,26,14,88.11,336,1,1,0,0,1,0,0,0
255,51,14,52.3,372,0,0,1,0,1,0,0,0
256,45,2,64.6,443,0,0,1,0,1,0,0,0
257,30,10,33.36,306,0,1,0,0,0,1,0,0
258,57,22,49.48,307,0,0,1,0,0,0,1,0
259,63,3,81.12,395,0,0,1,0,0,0,1,0
260,70,15,75.99,73,0,1,0,0,0,0,1,0
261,18,14,85.42,491,0,0,1,0,0,1,0,0
262,22,2,82.8,136,0,1,0,0,0,1,0,0
263,19,24,44.98,427,1,0,1,0,0,1,0,0
264,34,4,81.4,386,1,0,1,0,0,1,0,0
265,22,4,88.11,256,1,1,0,0,1,0,0,0
266,44,19,81.28,448,0,1,0,1,0,0,0,0
267,63,5,89.61,377,1,0,1,0,1,0,0,0
268,35,13,30.93,482,1,0,1,0,0,1,0,0
269,47,22,73.12,324,1,0,1,0,0,0,1,0
270,19,14,59.27,357,1,0,1,0,0,0,1,0
271,62,5,65.15,187,1,0,1,1,0,0,0,0
272,47,19,74.76,397,0,1,0,1,0,0,0,0
273,20,22,36.36,394,1,1,0,0,0,1,0,0
274,42,24,82.02,123,0,1,0,0,1,0,0,0
275,68,21,49.44,149,1,0,1,0,0,1,0,0
276,42,11,36.5,303,0,0,1,0,1,0,0,0
277,55,13,46.37,106,0,0,1,0,1,0,0,0
278,48,22,70.57,296,1,1,0,0,1,0,0,0
279,38,4,55.97,463,1,0,1,0,1,0,0,0
280,44,9,35.46,80,0,1,0,0,0,1,0,0
281,70,3,74.1,211,1,1,0,0,0,0,0,1
282,41,13,62.21,460,1,1,0,0,0,0,0,1
283,36,4,33.98,78,1,0,1,0,0,0,0,1
284,61,15,97.86,499,0,0,1,0,0,0,0,1
285,60,2,89.4,357,1,0,1,0,0,0,1,0
286,33,24,89.1,498,1,1,0,0,0,0,1,0
287,38,14,48.84,424,1,0,1,0,0,0,0,1
288,59,8,71.04,204,1,0,1,1,0,0,0,0
289,38,17,42.76,407,1,1,0,0,1,0,0,0
290,64,10,53.0,325,1,0,1,0,0,1,0,0
291,35,1,34.75,119,0,0,1,0,0,0,1,0
292,63,4,39.25,143,0,0,1,0,0,1,0,0
293,41,17,68.08,71,1,0,1,0,1,0,0,0
294,46,20,68.87,153,1,1,0,0,0,0,0,1
295,55,4,67.92,109,0,1,0,0,0,1,0,0
296,29,1,65.48,295,1,1,0,0,0,0,0,1
297,45,3,46.32,369,0,1,0,1,0,0,0,0
298,35,4,46.19,437,0,0,1,1,0,0,0,0
299,49,24,48.09,492,0,1,0,1,0,0,0,0
300,47,6,52.19,406,0,1,0,0,0,1,0,0
301,34,7,58.2,69,0,1,0,1,0,0,0,0
302,31,18,52.01,397,0,1,0,0,0,1,0,0
303,20,5,59.74,272,0,0,1,0,0,1,0,0
304,28,6,89.31,327,1,0,1,0,0,0,0,1
305,43,19,66.76,352,1,1,0,0,1,0,0,0
306,22,24,59.96,125,1,0,1,0,0,0,1,0
307,65,9,40.35,488,1,0,1,0,0,0,1,0
308,22,23,33.01,112,0,0,1,0,0,0,0,1
309,52,1,44.29,184,0,1,0,0,1,0,0,0
310,49,7,47.28,69,1,1,0,0,1,0,0,0
311,68,16,81.03,82,1,0,1,0,0,1,0,0
312,31,9,36.75,160,1,1,0,0,1,0,0,0
313,57,21,87.93,162,1,0,1,1,0,0,0,0
314,55,9,49.53,333,0,0,1,0,1,0,0,0
315,41,8,98.39,104,1,1,0,1,0,0,0,0
316,52,7,67.9,247,0,0,1,0,0,0,1,0
317,18,17,52.46,411,1,1,0,0,0,1,0,0
318,52,24,82.98,286,0,1,0,0,0,0,1,0
319,61,1,76.62,405,0,0,1,1,0,0,0,0
320,39,15,88.43,353,1,0,1,1,0,0,0,0
321,55,9,58.5,63,1,1,0,0,0,0,1,0
322,51,9,93.41,184,1,1,0,0,1,0,0,0
323,26,16,94.35,253,0,1,0,0,0,1,0,0
324,21,16,73.27,301,1,0,1,0,0,0,0,1
325,62,21,49.08,229,1,1,0,0,0,1,0,0
326,67,1,88.86,405,0,1,0,1,0,0,0,0
327,35,22,64.93,289,0,0,1,0,0,1,0,0
328,48,20,50.54,88,0,1,0,0,1,0,0,0
329,25,11,72.89,101,0,1,0,0,0,0,0,1
330,30,15,50.65,239,0,0,1,0,0,0,0,1
331,61,10,69.25,102,1,0,1,0,1,0,0,0
332,57,15,43.94,346,1,0,1,0,0,0,1,0
333,50,13,67.59,63,1,0,1,1,0,0,0,0
334,69,12,53.13,446,1,1,0,0,0,1,0,0
335,53,24,56.49,185,0,0,1,0,0,1,0,0
336,41,2,51.23,91,0,0,1,0,1,0,0,0
337,54,19,56.82,232,0,1,0,1,0,0,0,0
338,37,3,56.14,385,1,0,1,0,0,0,0,1
339,54,4,93.26,380,0,1,0,0,0,0,1,0
340,27,24,84.76,431,0,1,0,0,1,0,0,0
341,68,6,69.57,419,1,1,0,1,0,0,0,0
342,32,17,35.8,364,1,1,0,0,0,0,1,0
343,35,11,89.84,79,0,1,0,0,0,1,0,0
344,56,13,76.02,300,1,0,1,0,0,0,1,0
345,23,21,63.78,411,0,0,1,0,0,0,1,0
346,53,2,59.26,374,1,1,0,1,0,0,0,0
347,52,17,35.54,86,0,1,0,1,0,0,0,0
348,23,10,69.35,457,0,1,0,0,0,0,1,0
349,64,8,53.43,233,1,1,0,0,0,1,0,0
350,65,3,86.01,192,1,1,0,0,1,0,0,0
351,46,15,99.44,290,0,0,1,0,0,1,0,0
352,37,8,46.55,59,1,1,0,0,0,0,0,1
353,48,3,37.17,243,0,0,1,0,0,0,1,0
354,35,15,77.75,265,0,0,1,1,0,0,0,0
355,28,20,85.92,433,1,1,0,0,0,0,0,1
356,69,20,98.93,469,0,1,0,0,0,1,0,0
357,66,14,94.58,453,0,0,1,0,0,0,1,0
358,47,13,35.97,224,1,0,1,0,1,0,0,0
359,59,16,77.31,421,1,1,0,0,0,0,1,0
360,34,20,82.44,251,0,0,1,0,0,0,0,1
361,31,10,34.17,485,0,1,0,0,0,1,0,0
362,32,24,70.9,180,1,1,0,0,0,1,0,0
363,19,13,31.32,50,0,1,0,1,0,0,0,0
364,44,1,91.81,185,1,0,1,0,0,0,1,0
365,53,3,56.24,400,1,0,1,0,1,0,0,0
366,45,2,81.66,306,0,0,1,0,0,0,0,1
367,64,2,61.34,446,0,1,0,0,0,0,0,1
368,34,11,36.76,171,1,1,0,0,0,0,1,0
369,25,8,88.15,364,1,1,0,0,0,1,0,0
370,23,24,38.48,395,0,0,1,1,0,0,0,0
371,64,20,61.82,488,0,1,0,1,0,0,0,0
372,33,23,42.86,427,1,0,1,0,1,0,0,0
373,23,13,68.72,150,1,1,0,0,1,0,0,0
374,67,15,98.38,95,1,0,1,0,0,0,1,0
375,52,7,64.03,93,1,1,0,0,0,0,1,0
376,50,21,40.65,350,1,0,1,0,0,0,1,0
377,27,8,88.37,369,0,1,0,0,0,0,0,1
378,65,8,33.59,58,0,1,0,1,0,0,0,0
379,51,24,55.14,304,0,0,1,0,0,1,0,0
380,56,13,37.15,394,1,1,0,0,0,0,1,0
381,56,1,61.2,58,1,1,0,0,0,0,1,0
382,33,12,77.65,200,0,0,1,0,0,0,0,1
383,25,3,96.44,420,1,0,1,0,0,1,0,0
384,64,2,47.48,132,0,1,0,0,0,1,0,0
385,43,21,96.22,76,0,0,1,0,1,0,0,0
386,48,8,82.72,104,0,0,1,0,0,1,0,0
387,29,10,46.33,476,1,1,0,0,0,0,1,0
388,50,3,41.68,160,1,1,0,0,0,0,1,0
389,44,14,87.05,181,0,0,1,0,1,0,0,0
390,48,1,31.63,428,1,0,1,0,0,0,0,1
391,40,11,67.72,58,0,1,0,0,0,0,1,0
392,61,9,51.66,243,0,1,0,0,0,0,0,1
393,56,18,90.54,479,1,1,0,0,0,0,0,1
394,53,19,35.35,183,0,0,1,0,0,0,0,1
395,34,2,75.58,274,0,1,0,0,0,0,1,0
396,60,24,81.98,96,1,1,0,0,0,1,0,0
397,30,22,50.35,103,1,1,0,1,0,0,0,0
398,36,1,72.83,129,1,0,1,0,1,0,0,0
399,34,16,48.74,417,0,1,0,1,0,0,0,0
400,31,24,74.35,99,1,1,0,1,0,0,0,0
401,32,17,87.24,430,0,1,0,0,0,0,0,1
402,58,19,37.03,75,0,1,0,0,0,0,1,0
403,36,9,74.69,53,1,0,1,0,1,0,0,0
404,57,12,97.51,382,0,1,0,1,0,0,0,0
405,35,19,47.8,412,1,0,1,0,1,0,0,0
406,55,18,59.97,129,0,1,0,0,1,0,0,0
407,44,18,97.04,132,0,1,0,0,0,0,1,0
408,53,7,91.69,226,0,1,0,0,0,0,0,1
409,24,13,68.7,492,1,0,1,1,0,0,0,0
410,60,3,34.26,132,1,0,1,0,0,1,0,0
411,19,21,59.3,346,1,1,0,0,1,0,0,0
412,61,17,94.05,320,0,0,1,1,0,0,0,0
413,46,22,60.31,268,0,0,1,0,1,0,0,0
414,32,21,89.51,410,0,0,1,0,1,0,0,0
415,68,2,96.19,94,0,1,0,0,0,1,0,0
416,27,3,75.25,315,1,1,0,0,0,0,1,0
417,56,12,34.98,136,1,1,0,1,0,0,0,0
418,52,19,33.81,364,0,0,1,0,0,0,1,0
419,20,20,59.49,143,0,0,1,0,0,0,1,0
420,46,24,34.14,387,1,0,1,1,0,0,0,0
421,65,22,63.56,410,0,1,0,1,0,0,0,0
422,52,17,64.71,116,1,1,0,0,0,0,0,1
423,42,22,59.53,498,1,1,0,0,0,1,0,0
424,62,18,61.32,385,0,1,0,1,0,0,0,0
425,44,13,34.11,53,0,0,1,0,1,0,0,0
426,27,4,56.55,493,1,1,0,1,0,0,0,0
427,66,5,64.77,489,0,1,0,0,0,0,1,0
428,63,9,78.13,380,0,0,1,0,0,1,0,0
429,41,3,30.05,108,1,0,1,0,0,0,1,0
430,25,6,67.62,184,1,0,1,0,0,0,1,0
431,67,15,92.03,208,0,1,0,0,1,0,0,0
432,61,20,43.18,387,0,1,0,0,0,0,1,0
433,25,23,44.33,200,0,0,1,0,0,0,0,1
434,60,15,86.32,442,0,0,1,0,0,1,0,0
435,39,13,94.42,313,1,1,0,0,0,1,0,0
436,65,15,82.08,89,0,0,1,0,0,1,0,0
437,59,13,41.99,127,0,1,0,0,0,1,0,0
438,65,19,95.71,393,1,1,0,0,1,0,0,0
439,59,16,37.42,222,1,0,1,1,0,0,0,0
440,66,8,61.34,297,1,0,1,0,0,0,0,1
441,63,20,75.18,451,1,0,1,0,1,0,0,0
442,49,16,49.44,493,1,1,0,0,0,1,0,0
443,30,24,49.57,56,0,0,1,1,0,0,0,0
444,43,11,53.56,298,1,0,1,1,0,0,0,0
445,24,16,31.99,394,0,1,0,0,1,0,0,0
446,30,14,92.0,366,0,0,1,0,0,1,0,0
447,21,24,51.63,58,1,1,0,0,1,0,0,0
448,48,3,44.59,498,1,1,0,1,0,0,0,0
449,61,20,52.91,437,0,0,1,0,0,1,0,0
450,41,22,87.23,139,0,0,1,0,0,0,1,0
451,23,21,85.0,243,1,1,0,0,0,0,0,1
452,41,22,33.91,493,0,1,0,0,1,0,0,0
453,31,7,59.5,282,0,0,1,1,0,0,0,0
454,24,16,40.16,496,0,1,0,0,1,0,0,0
455,47,4,31.74,65,1,0,1,0,1,0,0,0
456,65,16,42.28,138,0,1,0,0,0,0,1,0
457,48,8,91.53,141,0,0,1,0,0,1,0,0
458,23,8,45.41,184,1,0,1,1,0,0,0,0
459,45,11,87.25,393,0,1,0,0,0,0,1,0
460,18,12,65.83,156,1,0,1,0,1,0,0,0
461,59,22,51.76,497,1,1,0,0,0,0,0,1
462,70,5,62.49,354,0,1,0,0,0,0,1,0
463,51,1,64.0,428,1,1,0,1,0,0,0,0
464,47,20,86.48,373,0,0,1,0,0,0,0,1
465,25,11,39.65,157,0,1,0,0,0,0,1,0
466,27,13,71.99,229,1,1,0,0,0,0,0,1
467,43,13,53.96,86,0,1,0,0,0,1,0,0
468,39,10,47.96,89,1,0,1,0,0,1,0,0
469,38,24,33.7,397,0,1,0,0,0,0,0,1
470,24,18,90.92,216,0,1,0,1,0,0,0,0
471,56,11,54.84,82,1,0,1,1,0,0,0,0
472,46,19,64.59,467,0,0,1,1,0,0,0,0
473,32,13,99.15,143,1,1,0,0,0,0,1,0
474,60,3,60.13,68,1,1,0,0,0,0,1,0
475,33,1,96.29,351,0,1,0,0,0,1,0,0
476,25,10,94.12,414,0,0,1,0,0,0,0,1
477,63,1,31.36,223,1,0,1,1,0,0,0,0
478,33,11,76.79,101,0,1,0,0,1,0,0,0
479,37,17,46.3,360,0,1,0,0,0,0,0,1
480,22,14,44.5,202,1,1,0,0,0,1,0,0
481,18,12,70.78,84,0,0,1,0,1,0,0,0
482,41,16,93.64,319,1,0,1,0,0,1,0,0
483,19,24,53.99,144,1,0,1,1,0,0,0,0
484,26,8,57.78,79,0,1,0,0,1,0,0,0
485,29,17,47.46,270,0,0,1,0,0,0,0,1
486,28,14,58.41,273,0,1,0,0,0,0,0,1
487,59,21,57.08,278,0,1,0,1,0,0,0,0
488,44,16,54.48,67,0,1,0,0,0,0,0,1
489,39,8,44.5,194,1,0,1,1,0,0,0,0
490,24,4,99.34,217,0,0,1,0,0,0,1,0
491,21,1,60.92,350,0,1,0,1,0,0,0,0
492,64,17,78.32,189,1,1,0,0,0,0,1,0
